file_paths,event_title,event_category,event_start,event_end,instructor1,url1_instr,instructor2,url2_instr,instructor3,url3_instr,instructor4,url4_instr,instructor5,url5_instr,instructor6,url6_instr,instructor7,url7_instr,instructor8,url8_instr,instructor9,url9_instr,helper1,url_help1,helper2,url_help2,helper3,url_help3,helper4,url_help4,helper5,url_help5,presenter1,url_pres1,presenter2,url_pres2,presenter3,url_pres3,presenter4,url_pres4,presenter5,url_pres5,presenter6,url_pres6,presenter7,url_pres7,presenter8,url_pres8,presenter9,url_pres9,presenter10,url_pres10,host1,url_host1,host2,url_host2,host3,url_host3,host4,url_host4,host5,url_host5,organizers1,url1_org,organizers2,url2_org,organizers3,url3_org,organizers4,url4_org,organizers5,url5_org,organizers6,url6_org,organizers7,url7_org,organizers8,url8_org,contact_email
events/events/20180101_teaching_open_science_in_medical_science_by_prof_dr_nick_plesnila_gunther_lofflmann_and_prof_dr_felix_schonbrodt.qmd,"""Teaching Open ScienceÂ in medical science""Â by Prof. Dr. Nick Plesnila, Gunther Löfflmann andÂ Prof. Dr. Felix Schönbrodt",Workshop,1-Jan-18,1-Jan-18,Prof. Dr. Nick Plesnila,,Gunther Löfflmann,,Prof. Dr. Felix Schönbrodt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LMU Open Science Center,,,,,,,,,,Prof. Dr. Felix Schönbrodt,,,,,,,,,,,,,,,,felix.schoenbrodt@psy.lmu.de
events/events/20181001_crashkurs__open_science_by_prof_dr_schonbrodt.qmd,"Crash course: ""Crashkurs - Open Science""Â by Prof. Dr. Schönbrodt",Crash course,1-Oct-18,1-Oct-18,Prof. Dr. Schönbrodt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LMU Open Science Center,,,,,,,,,,Prof. Dr. Felix Schönbrodt,,,,,,,,,,,,,,,,felix.schoenbrodt@psy.lmu.de
events/events/20181205_shared_responsibility_and_consequences_of_ignorance.qmd,"""Reproducibility of omics research: Shared responsibility and consequences of ignorance""",Discussion,5-Dec-18,5-Dec-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Dr. Lisa McShane,,,,,,,,,,,,,,,,,,,,"LMU Institute for Medical Information Processing, Biometry, and Epidemiology (IBE)",,LMU Open Science Center,,STRATOS,,The European Bioconductor Meeting,,,,Prof. Dr. Anne-Laure Boulesteix,,,,,,,,,,,,,,,,boulesteix@ibe.med.uni-muenchen.de
events/events/20181214_paywall__the_business_of_scholarship.qmd,"""Paywall - The Business of Scholarship""",Symposium,14-Dec-18,14-Dec-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Prof. Jason Schmitt,,Prof. Michael Bosnjak,,Volker Schallehn,,Prof. Nikolaus Plesnila,,,,,,,,,,,,,,ZPID,,LMU Open Science Center,,LMU University Library (UB),,,,,,Prof. Dr. Felix Schönbrodt,,,,,,,,,,,,,,,,felix.schoenbrodt@psy.lmu.de
events/events/20190212_good_scientific_practices.qmd,"""Good Scientific Practices""",Workshop,12-Feb-19,12-Feb-19,Dr. Michael Mende,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LMU Open Science Center,,,,,,,,,,Prof. Dr. Felix Schönbrodt,,,,,,,,,,,,,,,,felix.schoenbrodt@psy.lmu.de
events/events/20190218_maintaining_privacy_with_open_data.qmd,"""Maintaining privacy with open data""",Workshop,18-Feb-19,18-Feb-19,Prof. Dr. Felix Schönbrodt,,Dr. Anton Marx,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LMU Open Science Center,,,,,,,,,,Prof. Dr. Felix Schönbrodt,,,,,,,,,,,,,,,,felix.schoenbrodt@psy.lmu.de
events/events/20190401_wissenschaftliches_arbeiten_in_der_medizin.qmd,"""Wissenschaftliches Arbeiten in der Medizin""",Symposium,1-Apr-19,1-Apr-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Prof. Dr. Felix Schönbrodt,,Dr. Heidi Seibold,,Prof. Dr. Anne-Laure Boulesteix,,Prof. Dr. Nikolaus Plesnila,,Prof. Dr. Ulrich Mansmann,,,,,,,,,,,,Open Science Initiative in Medicine (OSIM),,,,,,,,,,Dr. Heidi Seibold,,,,,,,,,,,,,,,,Heidi.Seibold@stat.uni-muenchen.de
events/events/20190613_context_concerns_and_concrete_measures.qmd,"""Replication and Reproducibility in Social Sciences and Statistics: Context, Concerns, and Concrete Measures""",Lecture,13-Jun-19,13-Jun-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Dr. Lars Vilhuber,,,,,,,,,,,,,,,,,,,,Collaborative Research Center Transregio “Rationality and Competition”,,LMU-ifo Economics & Business Data Center,,LMU Open Science Center,,LMU Center for Advanced Studies research focus “Evidence Based Practice”,,,,Sebastian Wichert,,,,,,,,,,,,,,,,felix.schoenbrodt@psy.lmu.de
events/events/20191104_transparency_and_translational_impact.qmd,"""Reproducible research: transparency and translational impact""",Lecture,4-Nov-19,4-Nov-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Prof. Dr. John P.A. Ioannidis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Prof. Dr. Anne-Laure Boulesteix,,,,,,,,,,,,,,,,felix.schoenbrodt@psy.lmu.de
events/events/20191125_open_science_in_der_promotion.qmd,Open Science in der Promotion,Discussion,25-Nov-19,25-Nov-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GraduateCenterLMU,,,,,,,,,,,,,,,,graduatecenter@lmu.de
events/events/20191128_open_science_bottomup.qmd,"""Open Science Bottom-Up""",Workshop,28-Nov-19,30-Nov-19,Dr. Angelika Stefan,,Prof. Dr. Felix Schönbrodt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PsyFaKo,,LMU Open Science Center,,EU-project Fit4RRI,,,,,,Dr. Angelika Stefan,,Prof. Dr. Felix Schönbrodt,,Leonhard Schramm,,,,,,,,,,,,felix.schoenbrodt@psy.lmu.de
events/events/20191218_discussion_of_central_issues_and_papers_concerning_open_science_and_related_topics.qmd,"""Discussion of central issues and papers concerning Open Science and related topics""",ReproducibiliTea Journal Club,18-Dec-19,18-Dec-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ReproducibiliTea Team,,,,,,,,,,Prof. Dr. Felix Schönbrodt,,Laura Goetz,,Stephan Nuding,,Leonhard Schramm,,,,,,,,,,reproducibilitea.munich@gmail.com
events/events/20200120_options_requirements_and_funding_possibilities.qmd,"""Open Access: Options, Requirements and Funding Possibilities""",Workshop,20-Jan-20,20-Jan-20,Prof Dr. Felix Schönbrodt,,Volker Schallehn,,Andrea Dorner,,Vanessa Gabriel,,Dr. Veit Schwab,,Dr. Anna Pahl ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LMU Open Science Center,,LMU University Library (UB),,LMU Research Funding Unit,,,,,,Dr. Veit Schwab,,Dr. Anna Pahl ,,,,,,,,,,,,,,forschungsfoerderung@verwaltung.uni-muenchen.de
events/events/20200129_discussion_of_central_issues_and_papers_concerning_open_science_and_related_topics.qmd,"""Discussion of central issues and papers concerning Open Science and related topics""",ReproducibiliTea Journal Club,29-Jan-20,29-Jan-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ReproducibiliTea Team,,,,,,,,,,Prof. Dr. Felix Schönbrodt,,Laura Goetz,,Stephan Nuding,,Leonhard Schramm,,,,,,,,,,reproducibilitea.munich@gmail.com
events/events/20200205_the_harmonic_mean_chisquared_test_to_substantiate_scientific_findings.qmd,"""The harmonic mean chi-squared test to substantiate scientific findings""",Lecture,5-Feb-20,5-Feb-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Prof. Dr. Leonhard Held,,,,,,,,,,,,,,,,,,,,LMU Open Science Center,,,,,,,,,,Prof. Dr. Ulrich Mansmann,,,,,,,,,,,,,,,,mansmann@ibe.med.uni-muenchen.de
events/events/20200206_design_of_replication_experiments.qmd,"""Design of Replication Experiments""",Workshop,6-Feb-20,6-Feb-20,Leonhard Held,,Charlotte Micheloud,,Samuel Pawel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LMU Open Science Center,,,,,,,,,,Prof. Dr. Ulrich Mansmann,,,,,,,,,,,,,,,,mansmann@ibe.med.uni-muenchen.de
events/events/20200514_fieberhafte_forschung_-_warum_forschung_derzeit_wenig_verlasslich_ist_und_was_wir_dagegen_tun_konnen.qmd,"""Corona & Open Science: ""Fieberhafte Forschung â€“ Warum Forschung derzeit wenig verlässlich ist und was wir dagegen tun können""",Lecture,14-May-20,14-May-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Prof. Dr. Katrin Auspurg,,,,,,,,,,,,,,,,,,,,LMU Open Science Center,,,,,,,,,,Prof. Dr. Felix Schönbrodt,,,,,,,,,,,,,,,,felix.schoenbrodt@psy.lmu.de
events/events/20200702_open_science__reproduciblity_data_sharing_practical_aspects.qmd,"""Open Science - Reproduciblity, Data Sharing, Practical Aspects""",Symposium,2-Jul-20,2-Jul-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Prof. Dr. Nikolaus Plensila,,Prof. Dr. Anne-Laure Boulesteix,,Prof. Dr. Felix Schönbrodt,,Dr. Urs Heilbronner,,Prof. Dr. Ulrich Mansmann,,Dr. Heidi Seibold,,Dr. Xenia Schmalz,,,,,,,,Open Science Initiative in Medicine (OSIM),,,,,,,,,,Dr. Heidi Seibold,,Prof. Dr. Michael Ingrisch ,,,,,,,,,,,,,,Heidi.Seibold@stat.uni-muenchen.de
events/events/20201204_corona_and_open_science.qmd,"""Corona & Open Science""",Symposium,4-Dec-20,4-Dec-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sabine Hoffmann,,Prof. Dr. Helmut Küchenhoff,,Felix Günther,,Prof. Dr. Michael Ewers,,Prof. Dr. Nikolaus Plesnila,,Dr. Claudia Schmiedeberg ,,Prof. Dr. Josef Brüderl,,,,,,,,LMU Open Science Center ,,,,,,,,,,Prof. Dr. Felix Schönbrodt,,,,,,,,,,,,,,,,felix.schoenbrodt@psy.lmu.de
events/events/20210422_trends_funding_requirements_and_services_at_lmu.qmd,"""Research Data Management & Open Science: Trends, Funding Requirements and Services at LMU""",Workshop,22-Apr-21,22-Apr-21,Prof. Dr. Felix Schönbrodt,,Dr. Florian Schreck,,Dr. Veit Schwab,,Laura Meier,,Dr. Martin Spenger,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LMU Open Science Center,,LMU University Library (UB),,LMU Research Funding Unit,,,,,,Prof. Dr. Felix Schönbrodt,,,,,,,,,,,,,,,,felix.schoenbrodt@psy.lmu.de
events/events/20210429_publication_of_clinical_studies.qmd,"""Publication of clinical studies""",Symposium,29-Apr-21,29-Apr-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Dr. Till Bruckner,,Dr. Anja Baumgartner,,,,,,,,,,,,,,,,,,Open Science Initiative in Medicine (OSIM),,,,,,,,,,Christina Nießl,,,,,,,,,,,,,,,,christina.sauer@ibe.med.uni-muenchen.de
events/events/20210601_philosophy_and_methodology_of_medicine.qmd,"""Philosophy and Methodology of Medicine""",Conference ,1-Jun-21,3-Jun-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Munich Center for Mathematical Philosophy (MCMP),,,,,,,,,,Dr. Jürgen Landes,,Dr. Michael Wild,,,,,,,,,,,,,,juergen.landes@lrz.uni-muenchen.de
events/events/20210601_prediction_registration_and_replication_of_scientific_findings.qmd,"""Prediction, Registration, and Replication of Scientific Findings""",Symposium,1-Jun-21,2-Jun-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Abel Brodeur,,Christopher Chambers,,Anna Dreber,,Tom Hardwicke,,Sabine Hoffmann,,Macartan Humphreys,,Maximilian Kasy,,Felix Schönbrodt,,Eva Vivalt,,,,LMU Center for Advanced Studies (CAS),,LMU Open Science Center,,,,,,,,Dr. Taisuke Imai,,,,,,,,,,,,,,,,taisuke.imai@econ.lmu.de
events/events/20210708_introducing_mechanisms_of_robustness_and_transparency_into_the_institutional_incentive_and_reward_system_(merit).qmd,"""Introducing mechanisms of robustness and transparency into the institutional incentive and reward system (MERIT)""",Workshop,8-Jul-21,8-Jul-21,Dr. Miriam Kip,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LMU Open Science Center,,,,,,,,,,Prof. Dr. Ralf Ludwig,,Dr. Miriam Kip,,,,,,,,,,,,,,felix.schoenbrodt@psy.lmu.de
events/events/20210709_doing_good_research_should_not_be_bad_for_your_career.qmd,"""Doing good research should not be bad for your career""",ReproducibiliTea Journal Club,9-Jul-21,9-Jul-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ReproducibiliTea Team,,,,,,,,,,Laura Goetz,,Stephan Nuding,,Leonhard Schramm,,,,,,,,,,,,reproducibilitea.munich@gmail.com
events/events/20210929_lossofconfidence_project__have_you_ever_lost_faith_in_your_scientific_work.qmd,"""Loss-of-Confidence Project - Have you ever lost faith in your scientific work?""",ReproducibiliTea Journal Club,29-Sep-21,29-Sep-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ReproducibiliTea Team,,,,,,,,,,Laura Goetz,,Stephan Nuding,,Leonhard Schramm,,,,,,,,,,,,reproducibilitea.munich@gmail.com
events/events/20211110_tips_and_tools_for_a_reproducible_workflow.qmd,"""Tips and tools for a reproducible workflow""",Workshop,10-Nov-21,24-Nov-21,Dr. Caroline Zygar-Hoffmann,,Moritz Fischer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Open Science Initiative in Psychology (OSIP),,,,,,,,,,Dr. Caroline Zygar-Hoffmann,,Moritz Fischer,,,,,,,,,,,,,,caroline.zyga@psy.lmu.de
events/events/20211116_german_reproducibility_day.qmd,German Reproducibility Day,Discussion,16-Nov-21,16-Nov-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,German Reproducibility Network (GRN),,,,,,,,,,Prof. Dr. Felix Schönbrodt,,,,,,,,,,,,,,,,felix.schoenbrodt@psy.lmu.de
events/events/20220308_wunsch_und_wirklichkeit.qmd,"""Open Data, Data Sharing und Datenschutz in der Medizin: Wunsch und Wirklichkeit""",Symposium,8-Mar-22,8-Mar-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ulrich Mansmann,,Arne Rheinwald-Kolb,,Andreas Spickhoff ,,Fabian Prasser,,Patrick Thoral,,Jeroen Maas,,,,,,,,,,Open Science Initiative in Medicine (OSIM),,"Institute for Medical Information Processing, Biometry, and Epidemiology (IBE)",,,,,,,,Christina Nießl,,,,,,,,,,,,,,,,cniessl@ibe.med.uni-muenchen.de
events/events/20220523_open_research_at_oxford__survey_results_by_dr_malika_ihle.qmd,"Lecture:Â ""Open research at Oxford - survey results""Â by Dr. Malika Ihle",Lecture,23-May-22,23-May-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Dr. Malika Ihle,,,,,,,,,,,,,,,,,,,,LMU Open Science Center,,,,,,,,,,Dr. Malika Ihle,,,,,,,,,,,,,,,,malika.ihle@lmu.de
events/events/20220608_open_access.qmd,"""Open Access""",Workshop,8-Jun-22,8-Jun-22,Prof. Dr. Felix Schönbrodt,,Maximilian Frank,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Open Science Initiative in Psychology (OSIP),,,,,,,,,,,,,,,,,,,,,,,,,,malika.ihle@lmu.de
events/events/20220610_phacking_and_effective_countermeasures.qmd,"""Big Little Lies: p-hacking and effective countermeasures""",ReproducibiliTea Journal Club,10-Jun-22,10-Jun-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Angelika Stefan,,,,,,,,,,,,,,,,,,,,ReproducibiliTea Team,,,,,,,,,,Laura Goetz,,Stephan Nuding,,Leonhard Schramm,,,,,,,,,,,,reproducibilitea.munich@gmail.com
events/events/20220620_how_paper_mills_publish_fake_science_industrialstyle__is_there_really_a_problem_and_how_does_it_work.qmd,How paper mills publish fake science industrial-style - is there really a problem and how does it work?,Symposium,20-Jun-22,20-Jun-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bernhard Sabel ,,Jennifer Byrne,,Dorothy Bishop,,,,,,,,,,,,,,,,LMU Open Science Center,,,,,,,,,,Dr. Malika Ihle,,Prof. Dr. Bernhard A. Sabel,,Prof. Dr. Felix Schönbrodt,,,,,,,,,,,,malika.ihle@lmu.de
events/events/20220927_3day_crash_course_in_open_science.qmd,3-day crash course in Open Science,Summer School,27-Sep-22,29-Sep-22,Prof. Tim Parker,,Dr. Dominique Roche,,Dr. Malika Ihle,,Dr. Rose O'Dea,,Dr. Wolfgang Forstmeier,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LMU Faculty of Biology,,LMU Open Science Center,,,,,,,,Dr. Malika Ihle,,,,,,,,,,,,,,,,malika.ihle@lmu.de 
events/events/20220701_challenges_and_opportunities_for_science_communication.qmd,"""Public Trust in Science and the Replication Crisis: Challenges and Opportunities for Science Communication""",ReproducibiliTea Journal Club,1-Jul-22,1-Jul-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Marlene Altenmüller,,Dr. Tobias Wingen,,,,,,,,,,,,,,,,,,ReproducibiliTea Team,,,,,,,,,,Laura Goetz,,Stephan Nuding,,Leonhard Schramm,,,,,,,,,,,,reproducibilitea.munich@gmail.com
events/events/20220708_getting_active__how_can_we_foster_open_science_within_our_university.qmd,"""Getting active - How can we foster Open Science within our university?""",ReproducibiliTea Journal Club,8-Jul-22,8-Jul-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Dr. Malika Ihle,,,,,,,,,,,,,,,,,,,,ReproducibiliTea Team,,,,,,,,,,Laura Goetz,,Stephan Nuding,,Leonhard Schramm,,,,,,,,,,,,reproducibilitea.munich@gmail.com
